,FinalURL,CustomParameter,Identifier
23,"https://www.overstock.com/Bedding-Bath/Down-Pillows/Standard,/size,/759/subcat.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017492393220&ds_s_kwgid=58700002120452668"",""mkwid"":""159767092390680""}",Experiment-Bedding Geo Jan 24
24,https://www.overstock.com/Bedding-Bath/Blankets/4534/cat.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017492111466&ds_s_kwgid=58700002120322210"",""mkwid"":""713390329604""}",Experiment-Bedding Geo Jan 24
25,"https://www.overstock.com/Bedding-Bath/Quilts/1-Piece,/set-include,/1984/subcat.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017497827967&ds_s_kwgid=58700002117554450"",""mkwid"":""30113506785082""}",Experiment-Bedding Geo Jan 24
26,"https://www.overstock.com/Bedding-Bath/King,duvet-insert,/size,k,/43/store.html?searchtype=guidedNav&","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017492193102&ds_s_kwgid=58700002118765176"",""mkwid"":""89927393709027""}",Experiment-Bedding Geo Jan 24
27,https://www.overstock.com/Bedding-Bath/43/store.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017497658380&ds_s_kwgid=58700002117572474"",""mkwid"":""51878354560439""}",Experiment-Bedding Geo Jan 24
28,https://www.overstock.com/Bedding-Bath/Comforter-Sets/4538/cat.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017492319597&ds_s_kwgid=58700002117705575"",""mkwid"":""22053888456620""}",Experiment-Bedding Geo Jan 24
29,"https://www.overstock.com/Bedding-Bath/Blankets-Throws/Down,/material,/452/dept.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017492388861&ds_s_kwgid=58700002118792488"",""mkwid"":""165462742488922""}",Experiment-Bedding Geo Jan 24
30,https://www.overstock.com/Bedding-Bath/Blankets/4534/cat.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017497943710&ds_s_kwgid=58700002118788759"",""mkwid"":""181607574387501""}",Experiment-Bedding Geo Jan 24
31,"https://www.overstock.com/Bedding-Bath/Sheets/Pima-Cotton,/material,/4549/cat.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017497816933&ds_s_kwgid=58700002120426865"",""mkwid"":""215861217824969""}",Experiment-Bedding Geo Jan 24
32,"https://www.overstock.com/Bedding-Bath/Sheets-Pillowcases/Silk,/material,/459/dept.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017497834690&ds_s_kwgid=58700002120427120"",""mkwid"":""257366061825843""}",Experiment-Bedding Geo Jan 24
