,FinalURL,CustomParameter,Identifier,Keyword,Keyword ID
2859,"https://www.overstock.com/Home-Garden/Throw-Pillows/Bolster,/pillow-shape,/2011/subcat.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014345681399&ds_s_kwgid=58700001849952155""}",Generic_Standard_Bedding,+overstock +bolster +pillows,182343585684
2860,"https://www.overstock.com/Bedding-Bath/Duvet-Covers/Queen,/size,/4540/cat.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014336503557&ds_s_kwgid=58700001852876284""}",Generic_Standard_Bedding,duvet covers queen,327266632
2861,"https://www.overstock.com/Bedding-Bath/Sheets/Linen,/material,/4549/cat.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014336557362&ds_s_kwgid=58700001852878348""}",Generic_Standard_Bedding,linen sheet,166184100
2862,https://www.overstock.com/Bedding-Bath/Quilts-Bedspreads/4541/cat.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014345620717&ds_s_kwgid=58700001849879921""}",Generic_Standard_Bedding,+cotton +bedding +sets,25314666076
2863,"https://www.overstock.com/Bedding-Bath/California-King,duvet-insert,/size,k,/43/store.html?searchtype=guidedNav&","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014345455444&ds_s_kwgid=58700001849851070""}",Generic_Standard_Bedding,california king duvet inserts,94033947634
2864,"https://www.overstock.com/Bedding-Bath/Fashion-Bedding/Silver,silver-set,/color,k,/454/dept.html?searchtype=guidedNav&","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014345923285&ds_s_kwgid=58700001850968700""}",Generic_Standard_Bedding,+silver +bedding +set,37478424357
2865,"https://www.overstock.com/Bedding-Bath/Pillowcases/Standard,/size,/4550/cat.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014345424634&ds_s_kwgid=58700001852827576""}",Generic_Standard_Bedding,standard pillowcase,315300589
2866,https://www.overstock.com/Baby/Bumper-Pads/3170/cat.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014336153985&ds_s_kwgid=58700001849858489""}",Generic_Standard_Bedding,baby bedding bumpers,6258096272
2867,https://www.overstock.com/Bedding-Bath/Quilts-Bedspreads/4541/cat.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014337659667&ds_s_kwgid=58700001851023336""}",Generic_Standard_Bedding,+bedspread +at +walmart,51953231184
2868,https://www.overstock.com/Bedding-Bath/Throws/4535/cat.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700014345520685&ds_s_kwgid=58700001852835877""}",Generic_Standard_Bedding,+down +alternative +throws,42915536424
