,FinalURL,CustomParameter,Identifier,Results
12832,https://www.overstock.com/search?keywords=acqua+di+gio&SearchType=Header&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008222834579&ds_s_kwgid=58700000727137903""}",Standard_Health & Beauty,31
12833,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218938610&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
12834,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215155681&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
12835,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215168059&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
12836,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008222816720&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5906
12837,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218954135&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
12838,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008222824070&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5906
12839,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218938643&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
12840,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218954087&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
12841,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215163388&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
12842,https://www.overstock.com/search?keywords=therapeutic&taxonomy=sto8&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218947931&ds_s_kwgid=58700000724659341""}",Standard_Health & Beauty,165
12843,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218954594&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
12844,https://www.overstock.com/search?keywords=acqua+di+gio&SearchType=Header&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008222834057&ds_s_kwgid=58700000727137903""}",Standard_Health & Beauty,31
12845,https://www.overstock.com/Health-Beauty/Perfumes-Fragrances/3467/cat.html?,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215174623&ds_s_kwgid=58700000725336995""}",Standard_Health & Beauty,10818
12846,https://www.overstock.com/search?keywords=bvlgari+fragrance&taxonomy=cat3467&searchtype=Header&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215170285&ds_s_kwgid=58700000724660427""}",Standard_Health & Beauty,185
12847,https://www.overstock.com/search?keywords=ralph+lauren&taxonomy=sto8&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008222842148&ds_s_kwgid=58700000727137408""}",Standard_Health & Beauty,109
12848,https://www.overstock.com/search?keywords=&taxonomy=sto8&searchtype=guidedNav&additionalKeywords=bath+stools&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218947319&ds_s_kwgid=58700000724659332""}",Standard_Health & Beauty,11
12849,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215172871&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
12850,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215172280&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5906
12851,https://www.overstock.com/search?keywords=bvlgari&taxonomy=sto8&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215170387&ds_s_kwgid=58700000724660427""}",Standard_Health & Beauty,166
12852,https://www.overstock.com/Health-Beauty/Perfumes-Fragrances/3467/cat.html?,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215174809&ds_s_kwgid=58700000725336995""}",Standard_Health & Beauty,10818
12853,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008222817494&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5906
12854,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218956736&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
12855,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215172751&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
12856,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215171080&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5906
12857,https://www.overstock.com/search?keywords=paul+sebastian&taxonomy=cat3467&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008222832740&ds_s_kwgid=58700000727137372""}",Standard_Health & Beauty,39
12858,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008222816630&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5906
12859,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215140723&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
12860,https://www.overstock.com/search?keywords=escada&taxonomy=sto8&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218959337&ds_s_kwgid=58700000724660841""}",Standard_Health & Beauty,49
12861,https://www.overstock.com/search?keywords=chi+flat+iron&taxonomy=sub12312&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218946647&ds_s_kwgid=58700000727146822""}",Standard_Health & Beauty,11
12862,https://www.overstock.com/search?keywords=razors&taxonomy=sto8&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215169358&ds_s_kwgid=58700000724659374""}",Standard_Health & Beauty,146
12863,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215171956&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
12864,https://www.overstock.com/search?keywords=&taxonomy=sto8&searchtype=guidedNav&additionalKeywords=bath+stools&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218947175&ds_s_kwgid=58700000724659332""}",Standard_Health & Beauty,11
12865,https://www.overstock.com/search?keywords=dolce+&+gabbana+fragrances&SearchType=Header&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218957975&ds_s_kwgid=58700000725337322""}",Standard_Health & Beauty,25
12866,https://www.overstock.com/Health-Beauty/Perfumes-Fragrances/3467/cat.html?,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215174767&ds_s_kwgid=58700000725336995""}",Standard_Health & Beauty,10818
12867,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215170915&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
12868,https://www.overstock.com/Health-Beauty/Perfumes-Fragrances/3467/cat.html?,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215175094&ds_s_kwgid=58700000725336995""}",Standard_Health & Beauty,10818
12869,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215172700&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
12870,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215157706&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
12871,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215171389&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5906
12872,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218937737&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
12873,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215157883&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
12874,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215155801&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
12875,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215166466&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
12876,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218937752&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
12877,https://www.overstock.com/search?keywords=acqua+di+gio&SearchType=Header&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008222834027&ds_s_kwgid=58700000727137903""}",Standard_Health & Beauty,31
12878,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008222823908&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5906
